video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=WpoSofhf9Y0&pp=ygUERVNSSQ%3D%3D,/@esrimaps,Esri,What is GIS?,130K,1 year,"Geospatial Information Systems (GIS) is a unique problem-solving technology with remarkable impact. In this video, visionary ...",46:00.3
/watch?v=zHDHDC6dWS4&pp=ygUERVNSSQ%3D%3D,/@esrimaps,Esri,AI and GIS,14K,10 months,AI combined with location technology is helping organizations around the world realize the promise of building a better future.,46:00.3
/watch?v=FRcv9xmmojE&pp=ygUERVNSSQ%3D%3D,/@ESRIUK1,Esri UK,What is ArcGIS?,233K,10 years,What is ArcGIS? This video answers that question.,46:00.3
/watch?v=2oYUbL9aNYg&pp=ygUERVNSSQ%3D%3D,/@MattForrest,Matt Forrest,Do You Actually Need Esri Today?,3.4K,1 month,"ArcGIS Pro has been the center of GIS workflows for decades but how does it hold up in a world moving toward open, cloud-native ...",46:00.3
/shorts/prC_jG7IDJY,/@JohnNelsonMaps,John Nelson Maps,Trippy 3D terrain contours in a GIS #esri #map #tutorial,29K,9 months,Here's the full ArcGIS Pro tutorial: https://youtu.be/RTLBgd8MmrY.,46:00.4
/watch?v=Gw9_pOM_jYQ&pp=ygUERVNSSQ%3D%3D,/@EsriEvents,Esri Events,ArcGIS Enterprise: An Introduction,48K,5 years,"ArcGIS Enterprise is your foundational system for data management, mapping and visualization, and analytics. If you are just ...",46:00.4
/watch?v=JcEUf4L6wzo&pp=ygUERVNSSQ%3D%3D,/@EsriDevs,Esri Developers,Getting started with the #Esri's ArcGIS Places service,769,1 year,"Places, also known as points of interest (POIs), are businesses and geographic locations that you can discover around the world.",46:00.4
/watch?v=2aGG-Mbvr0w&pp=ygUERVNSSQ%3D%3D,/@EsriDevs,Esri Developers,ArcGIS Experience Builder: An Introduction | #EsriDevSummit2024,16K,1 year,"ArcGIS Experience Builder empowers you to leverage data, maps, and content, to build web apps and pages with no-low code.",46:00.4
/watch?v=WVIjHJ4sdNM&pp=ygUERVNSSdIHCQlNCgGHKiGM7w%3D%3D,/@esri_arcgis,ArcGIS,What's New in ArcGIS Pro 3.6,8.5K,2 months,This video highlights the top ten new features in the ArcGIS Pro 3.6 release. To see all the new and improved functionality in this ...,46:00.4
/watch?v=wv4PGbCPmOU&pp=ygUERVNSSQ%3D%3D,/@esrimaps,Esri,Mapping the American Revolution,1.2K,1 month,Join Esri cartographer Charlie Frye and the Florentine Films team for an in-depth conversation about the role of maps in Ken ...,46:00.4
/watch?v=PYSLSrV2n5w&pp=ygUERVNSSQ%3D%3D,/@esrimaps,Esri,Esri's End to End 3D Drone Mapping Software,170K,2 years,Streamline your workflow from planning to analysis with Site Scan for ArcGIS. Get started today: ...,46:00.4
/watch?v=dG8hPA4bKUw&pp=ygUERVNSSQ%3D%3D,/@esri_arcgis,ArcGIS,Get to Know ArcGIS Field Maps,80K,5 years,"ArcGIS Field Maps is a mobile app that combines map viewing, data collection, and location tracking into a single app for easier ...",46:00.4
/watch?v=viJEBsoXKi8&pp=ygUERVNSSQ%3D%3D,/@esrimaps,Esri,About Esri,38K,3 years,"As the world becomes smaller, and what happens somewhere else hits closer and closer to home, geography matters more than ...",46:00.4
/watch?v=ak9mTkQxUlk&pp=ygUERVNSSQ%3D%3D,/@PowerToFly_,PowerToFly,Esri Interview Tips From A Company Recruiter,6.3K,3 years,Prepare to stand out at your Esri job interview with these tips from a company recruiter! Watch the video to the end to learn ...,46:10.1
